ejercicio_fiscal,clave_estado,entidad,numero_pescadores_capacitados,nombre_curso
2016,25,Sinaloa,27,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,25,Sinaloa,30,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,25,Sinaloa,30,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,25,Sinaloa,27,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,25,Sinaloa,25,Formacion Basica
2016,25,Sinaloa,17,Formacion Basica
2016,28,Tamaulipas,147,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,71,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,64,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,77,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,165,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,162,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,60,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,140,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,41,Basico de seguiridad para pescadores riberenos
2016,28,Tamaulipas,34,Prestadores de servicios turisticos
2016,28,Tamaulipas,39,Prestadores de servicios turisticos
2016,29,Tlaxcala,39,Basico de seguiridad para pescadores riberenos
2016,30,Veracruz de Ignacio de la Llave de Ignacio de la Llave de Ignacio de la Llave,30,Basico de seguiridad para pescadores riberenos
2016,30,Veracruz de Ignacio de la Llave de Ignacio de la Llave de Ignacio de la Llave,32,Basico de seguiridad para pescadores riberenos
2016,30,Veracruz de Ignacio de la Llave de Ignacio de la Llave de Ignacio de la Llave,25,Basico de seguiridad para pescadores riberenos
2016,30,Veracruz de Ignacio de la Llave de Ignacio de la Llave de Ignacio de la Llave,20,Basico de seguiridad para pescadores riberenos
2016,30,Veracruz de Ignacio de la Llave de Ignacio de la Llave de Ignacio de la Llave,21,Basico de seguiridad para pescadores riberenos
2016,31,Yucatan,85,Basico de seguiridad para pescadores riberenos
2016,31,Yucatan,180,Basico de seguiridad para pescadores riberenos
2016,31,Yucatan,274,Basico de seguiridad para pescadores riberenos
2016,31,Yucatan,175,Basico de seguiridad para pescadores riberenos
2016,31,Yucatan,125,Basico de seguiridad para pescadores riberenos
2016,31,Yucatan,61,Basico de seguiridad para pescadores riberenos
2016,31,Yucatan,21,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,31,Yucatan,33,Basico de seguiridad para pescadores riberenos
2016,31,Yucatan,12,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,31,Yucatan,16,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,31,Yucatan,11,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,32,Zacatecas,28,Basico de seguiridad para pescadores riberenos
2016,32,Zacatecas,29,Basico de seguiridad para pescadores riberenos
2016,32,Zacatecas,18,Basico de seguiridad para pescadores riberenos
2016,32,Zacatecas,28,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,32,Zacatecas,29,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2016,32,Zacatecas,18,Basico de mantenimiento de motores fuera de borda de dos y cuatro tiempos
2017,2,Baja California,540,Basico de Seguridad para Pescadores Riberenos
2017,2,Baja California,38,Basico de Mantenimiento de Motores Fuera de Borda
2017,4,Campeche,251,Basico de Seguridad para Pescadores Riberenos
2017,7,Chiapas,654,Basico de Seguridad para Pescadores Riberenos
2017,7,Chiapas,30,Basico de Mantenimiento de Motores Fuera de Borda
2017,12,Guerrero,359,Basico de Seguridad para Pescadores Riberenos
2017,14,Jalisco,421,Basico de Seguridad para Pescadores Riberenos
2017,14,Jalisco,65,Basico de Mantenimiento de Motores Fuera de Borda
2017,20,Oaxaca,513,Basico de Seguridad para Pescadores Riberenos
2017,20,Oaxaca,51,Basico de Mantenimiento de Motores Fuera de Borda
2017,23,Quintana Roo,82,Basico de Seguridad para Pescadores Riberenos
2017,23,Quintana Roo,49,Basico de Mantenimiento de Motores Fuera de Borda
2017,25,Sinaloa,1735,Basico de Seguridad para Pescadores Riberenos
2017,25,Sinaloa,110,Basico de Mantenimiento de Motores Fuera de Borda
2017,26,Sonora,125,Basico de Seguridad para Pescadores Riberenos
2017,26,Sonora,11,Prestadores de servicios turisticos
2017,26,Sonora,62,Basico de Mantenimiento de Motores Fuera de Borda
2017,30,Veracruz de Ignacio de la Llave,297,Basico de Seguridad para Pescadores Riberenos
2017,31,Yucatan,397,Basico de Seguridad para Pescadores Riberenos
